platform,page_name,key,en,zh-CN,zh-HK
APP,Splash Screen,splash.hint,Tap to continue,点击继续,點擊繼續
APP,Splash Screen,splash.slogan,Best Quality Best Price,品质至上 价格最优,品質至上 價格最優
APP,Splash Screen,splash.version,Version 1.0.0,版本 1.0.0,版本 1.0.0
APP,Login,login.btn,LOGIN / SIGN UP,登录 / 注册,登入 / 註冊
APP,Login,login.divider,or,或,或
APP,Login,login.email,Email,邮箱,郵箱
APP,Login,login.forgot,Forgot password?,忘记密码？,忘記密碼？
APP,Login,login.phone.label,Phone Number,手机号码,手機號碼
APP,Login,login.phone.placeholder,Enter phone number,请输入手机号,請輸入手機號
APP,Login,login.pwd.account.label,Phone or Email,手机号或邮箱,手機號或郵箱
APP,Login,login.pwd.account.placeholder,Phone number or email,请输入手机号或邮箱,請輸入手機號或郵箱
APP,Login,login.pwd.btn,LOGIN,登录,登入
APP,Login,login.pwd.label,Password,密码,密碼
APP,Login,login.pwd.placeholder,Enter password,请输入密码,請輸入密碼
APP,Login,login.signup,Don't have an account?,还没有账号？,還沒有帳號？
APP,Login,login.signup.link,Sign up with Phone,手机号注册,手機號註冊
APP,Login,login.slogan,Best Quality Best Price,品质至上 价格最优,品質至上 價格最優
APP,Login,login.tab.phone,📱 Phone,📱 手机,📱 手機
APP,Login,login.tab.pwd,🔒 Password,🔒 密码,🔒 密碼
APP,Login,login.terms,"By continuing, you agree to our",继续即表示您同意我们的,繼續即表示您同意我們的
APP,Login,login.terms.and,and,和,和
APP,Login,login.terms.pp,Privacy Policy,隐私政策,私隱政策
APP,Login,login.terms.tos,Terms of Service,服务条款,服務條款
APP,Login,login.wa,WhatsApp,WhatsApp,WhatsApp
APP,SMS OTP Verification,smsOtp.btn,VERIFY & CONTINUE,验证并继续,驗證並繼續
APP,SMS OTP Verification,smsOtp.channel,📱 via SMS,📱 短信服务,📱 短訊服務
APP,SMS OTP Verification,smsOtp.desc,We sent a 6-digit code via SMS to,我们已通过短信发送6位验证码至,我們已透過短訊發送6位驗證碼至
APP,SMS OTP Verification,smsOtp.heading,Enter Verification Code,输入验证码,輸入驗證碼
APP,SMS OTP Verification,smsOtp.resend,Didn't receive?,没有收到？,沒有收到？
APP,SMS OTP Verification,smsOtp.resendTimer,Resend in 01:00,01:00 后重发,01:00 後重發
APP,SMS OTP Verification,smsOtp.title,Verification,验证,驗證
APP,Set Password,setPwd.btn,SET PASSWORD & CONTINUE,设置密码并继续,設置密碼並繼續
APP,Set Password,setPwd.confirm.label,Confirm Password,确认密码,確認密碼
APP,Set Password,setPwd.confirm.placeholder,Re-enter password,再次输入密码,再次輸入密碼
APP,Set Password,setPwd.desc,Set a password to complete registration,设置密码以完成注册,設置密碼以完成註冊
APP,Set Password,setPwd.heading,Secure Your Account,保护您的账号,保護您的帳號
APP,Set Password,setPwd.hint.chars,✓ 8+ chars,✓ 8位以上,✓ 8位以上
APP,Set Password,setPwd.hint.number,✓ Number,✓ 含数字,✓ 含數字
APP,Set Password,setPwd.hint.special,✓ Special char,✓ 含特殊字符,✓ 含特殊字元
APP,Set Password,setPwd.hint.upper,✓ Uppercase,✓ 含大写,✓ 含大寫
APP,Set Password,setPwd.new.label,New Password,新密码,新密碼
APP,Set Password,setPwd.new.placeholder,At least 8 characters,至少8个字符,至少8個字元
APP,Set Password,setPwd.title,Set Password,设置密码,設置密碼
APP,Registration Complete,regDone.desc,Welcome to FoneSquare. Redirecting to homepage...,欢迎来到 FoneSquare，正在跳转至首页...,歡迎來到 FoneSquare，正在跳轉至首頁...
APP,Registration Complete,regDone.title,Registration Complete!,注册完成！,註冊完成！
APP,WhatsApp Number Input,waInput.btn,SEND WHATSAPP CODE,发送 WHATSAPP 验证码,發送 WHATSAPP 驗證碼
APP,WhatsApp Number Input,waInput.desc,We'll send a verification code to your WhatsApp,我们将向您的WhatsApp发送验证码,我們將向您的WhatsApp發送驗證碼
APP,WhatsApp Number Input,waInput.heading,Login via WhatsApp,通过 WhatsApp 登录,透過 WhatsApp 登入
APP,WhatsApp Number Input,waInput.info,Verification code sent via WhatsApp,验证码通过 WhatsApp 发送,驗證碼透過 WhatsApp 發送
APP,WhatsApp Number Input,waInput.label,WhatsApp Number,WhatsApp 号码,WhatsApp 號碼
APP,WhatsApp Number Input,waInput.placeholder,Enter WhatsApp number,请输入WhatsApp号码,請輸入WhatsApp號碼
APP,WhatsApp Number Input,waInput.title,WhatsApp Login,WhatsApp 登录,WhatsApp 登入
APP,WhatsApp OTP,waOtp.btn,VERIFY & CONTINUE,验证并继续,驗證並繼續
APP,WhatsApp OTP,waOtp.channel,via WhatsApp,via WhatsApp,via WhatsApp
APP,WhatsApp OTP,waOtp.desc,We sent a 6-digit code to,我们已发送6位验证码至,我們已發送6位驗證碼至
APP,WhatsApp OTP,waOtp.heading,Check Your WhatsApp,请查看您的 WhatsApp,請查看您的 WhatsApp
APP,WhatsApp OTP,waOtp.resend,Didn't receive?,没有收到？,沒有收到？
APP,WhatsApp OTP,waOtp.resendTimer,Resend in 01:00,01:00 后重发,01:00 後重發
APP,WhatsApp OTP,waOtp.title,WhatsApp Verification,WhatsApp 验证,WhatsApp 驗證
APP,Email Input,emailInput.btn,SEND VERIFICATION CODE,发送验证码,發送驗證碼
APP,Email Input,emailInput.desc,Enter your email to receive a verification code,输入邮箱地址获取验证码,輸入郵箱地址獲取驗證碼
APP,Email Input,emailInput.heading,Login with Email,邮箱登录,郵箱登入
APP,Email Input,emailInput.label,Email Address,邮箱地址,郵箱地址
APP,Email Input,emailInput.placeholder,you@example.com,you@example.com,you@example.com
APP,Email Input,emailInput.pwdLink,Already have a password?,已有密码？,已有密碼？
APP,Email Input,emailInput.pwdLinkAction,Login with password,密码登录,密碼登入
APP,Email Input,emailInput.title,Email Login,邮箱登录,郵箱登入
APP,Email OTP,emailOtp.btn,VERIFY & CONTINUE,验证并继续,驗證並繼續
APP,Email OTP,emailOtp.channel,✉️ via Email,✉️ 邮箱发送,✉️ 郵箱發送
APP,Email OTP,emailOtp.desc,We sent a 6-digit code to,我们已发送6位验证码至,我們已發送6位驗證碼至
APP,Email OTP,emailOtp.heading,Check Your Email,查看您的邮箱,查看您的郵箱
APP,Email OTP,emailOtp.resend,Didn't receive?,没有收到？,沒有收到？
APP,Email OTP,emailOtp.resendLink,Resend code,重新发送,重新發送
APP,Email OTP,emailOtp.title,Email Verification,邮箱验证,郵箱驗證
APP,Email Password Login,emailPwd.btn,CREATE ACCOUNT,创建账户,建立帳戶
APP,Email Password Login,emailPwd.confirm.label,Confirm Password,确认密码,確認密碼
APP,Email Password Login,emailPwd.confirm.placeholder,Re-enter password,再次输入密码,再次輸入密碼
APP,Email Password Login,emailPwd.desc,Set a password for your email account,为您的邮箱账户设置密码,為您的郵箱帳戶設置密碼
APP,Email Password Login,emailPwd.heading,Create Your Password,创建您的密码,建立您的密碼
APP,Email Password Login,emailPwd.linked,Password linked to,密码关联至,密碼關聯至
APP,Email Password Login,emailPwd.new.label,New Password,新密码,新密碼
APP,Email Password Login,emailPwd.new.placeholder,At least 8 characters,至少8个字符,至少8個字元
APP,Email Password Login,emailPwd.title,Create Password,创建密码,建立密碼
APP,Password Login,pwdLogin.account.label,Phone or Email,手机号或邮箱,手機號或郵箱
APP,Password Login,pwdLogin.account.placeholder,Phone number or email,请输入手机号或邮箱,請輸入手機號或郵箱
APP,Password Login,pwdLogin.btn,LOGIN,登录,登入
APP,Password Login,pwdLogin.forgot,Forgot password?,忘记密码？,忘記密碼？
APP,Password Login,pwdLogin.pwd.label,Password,密码,密碼
APP,Password Login,pwdLogin.pwd.placeholder,Enter password,请输入密码,請輸入密碼
APP,Password Login,pwdLogin.signup,Don't have an account?,还没有账号？,還沒有帳號？
APP,Password Login,pwdLogin.signupLink,Sign up with Phone,手机号注册,手機號註冊
APP,Password Login,pwdLogin.slogan,Best Quality Best Price,品质至上 价格最优,品質至上 價格最優
APP,Password Login,pwdLogin.tab.phone,📱 Phone,📱 手机,📱 手機
APP,Password Login,pwdLogin.tab.pwd,🔒 Password,🔒 密码,🔒 密碼
APP,Password Login,pwdLogin.terms,"By continuing, you agree to our",继续即表示您同意我们的,繼續即表示您同意我們的
APP,Password Login,pwdLogin.terms.and,and,和,和
APP,Password Login,pwdLogin.terms.pp,Privacy Policy,隐私政策,私隱政策
APP,Password Login,pwdLogin.terms.tos,Terms of Service,服务条款,服務條款
APP,Login Success,loginOk.desc,Redirecting to homepage...,正在跳转至首页...,正在跳轉至首頁...
APP,Login Success,loginOk.heading,Welcome Back!,欢迎回来！,歡迎回來！
APP,Forgot Password,forgot.changeBtn,CHANGE PASSWORD,修改密码,修改密碼
APP,Forgot Password,forgot.confirm.label,Confirm Password,确认密码,確認密碼
APP,Forgot Password,forgot.confirm.placeholder,Re-enter password,再次输入密码,再次輸入密碼
APP,Forgot Password,forgot.desc,Enter your phone number to receive a verification code via SMS,输入手机号码，通过短信接收验证码,輸入手機號碼，透過短訊接收驗證碼
APP,Forgot Password,forgot.emailDesc,Enter your email address to receive a verification code,输入您的邮箱地址，接收验证码,輸入您的郵箱地址，接收驗證碼
APP,Forgot Password,forgot.emailLabel,Email Address,邮箱地址,郵箱地址
